image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0013.png,4.461537248,2.76354809,4,1.14E-08,3.999995332
0013.png,4.461537248,2.76354809,5,5.74E-09,4.999992627
0013.png,4.461537248,2.76354809,6,2.91E-09,5.999986989
0013.png,4.461537248,2.76354809,7,1.50E-09,6.999955956
0013.png,4.461537248,2.76354809,8,7.92E-10,7.999933145
0014.png,7.636798635,5.942032511,1,8.95E-08,0.999999774
0014.png,7.636798635,5.942032511,2,4.82E-08,1.999997757
0014.png,7.636798635,5.942032511,3,2.34E-08,2.999998394
0014.png,7.636798635,5.942032511,4,1.11E-08,3.99999624
0014.png,7.636798635,5.942032511,5,5.34E-09,4.999992143
0014.png,7.636798635,5.942032511,6,2.59E-09,5.999985099
0014.png,7.636798635,5.942032511,7,1.27E-09,6.999969695
0014.png,7.636798635,5.942032511,8,6.41E-10,7.999930796
0015.png,7.377180076,5.599868552,1,9.43E-08,0.999999968
0015.png,7.377180076,5.599868552,2,4.91E-08,1.999999364
0015.png,7.377180076,5.599868552,3,2.36E-08,2.999998842
0015.png,7.377180076,5.599868552,4,1.13E-08,3.999996105
0015.png,7.377180076,5.599868552,5,5.44E-09,4.999990036
0015.png,7.377180076,5.599868552,6,2.66E-09,5.999980988
0015.png,7.377180076,5.599868552,7,1.31E-09,6.999969706
0015.png,7.377180076,5.599868552,8,6.60E-10,7.999934608
0016.png,7.581446508,5.547689579,1,9.43E-08,0.999999998
0016.png,7.581446508,5.547689579,2,5.02E-08,1.999998592
0016.png,7.581446508,5.547689579,3,2.44E-08,2.999997036
0016.png,7.581446508,5.547689579,4,1.18E-08,3.999994857
0016.png,7.581446508,5.547689579,5,5.80E-09,4.999987541
0016.png,7.581446508,5.547689579,6,2.92E-09,5.999979881
0016.png,7.581446508,5.547689579,7,1.51E-09,6.999960865
0016.png,7.581446508,5.547689579,8,8.11E-10,7.999931287
0017.png,7.598104733,5.469066614,1,1.01E-07,0.999999591
0017.png,7.598104733,5.469066614,2,5.21E-08,1.999997509
0017.png,7.598104733,5.469066614,3,2.51E-08,2.999998311
0017.png,7.598104733,5.469066614,4,1.23E-08,3.999997374
0017.png,7.598104733,5.469066614,5,6.21E-09,4.999992795
0017.png,7.598104733,5.469066614,6,3.22E-09,5.99998649
0017.png,7.598104733,5.469066614,7,1.73E-09,6.999973711
0017.png,7.598104733,5.469066614,8,9.91E-10,7.999934854
0018.png,7.562275968,4.934414506,1,1.11E-07,0.999999242
0018.png,7.562275968,4.934414506,2,5.58E-08,1.999998793
0018.png,7.562275968,4.934414506,3,2.71E-08,2.999996568
0018.png,7.562275968,4.934414506,4,1.38E-08,3.999996323
0018.png,7.562275968,4.934414506,5,7.35E-09,4.999992207
0018.png,7.562275968,4.934414506,6,4.10E-09,5.999982153
0018.png,7.562275968,4.934414506,7,2.41E-09,6.999966594
0018.png,7.562275968,4.934414506,8,1.56E-09,7.999936624
0019.png,7.164731108,5.973225659,1,8.86E-08,0.999999869
0019.png,7.164731108,5.973225659,2,4.61E-08,1.999997902
0019.png,7.164731108,5.973225659,3,2.24E-08,2.999997984
0019.png,7.164731108,5.973225659,4,1.10E-08,3.999996687
0019.png,7.164731108,5.973225659,5,5.51E-09,4.999991806
0019.png,7.164731108,5.973225659,6,2.85E-09,5.999987224
0019.png,7.164731108,5.973225659,7,1.51E-09,6.999974502
0019.png,7.164731108,5.973225659,8,8.47E-10,7.999938054
0020.png,6.988901654,4.678624773,1,1.00E-07,0.999999853
0020.png,6.988901654,4.678624773,2,5.00E-08,1.999999056
0020.png,6.988901654,4.678624773,3,2.38E-08,2.999998596
0020.png,6.988901654,4.678624773,4,1.16E-08,3.999996897
0020.png,6.988901654,4.678624773,5,5.76E-09,4.999993937
0020.png,6.988901654,4.678624773,6,2.92E-09,5.99998203
0020.png,6.988901654,4.678624773,7,1.50E-09,6.999949506
0020.png,6.988901654,4.678624773,8,8.01E-10,7.999944755
0021.png,7.615286302,4.939734699,1,1.66E-07,0.999999766
0021.png,7.615286302,4.939734699,2,8.82E-08,1.999999492
0021.png,7.615286302,4.939734699,3,4.28E-08,2.999994298
0021.png,7.615286302,4.939734699,4,2.06E-08,3.999990995
0021.png,7.615286302,4.939734699,5,1.01E-08,4.999984122
0021.png,7.615286302,4.939734699,6,5.05E-09,5.999967775
0021.png,7.615286302,4.939734699,7,2.57E-09,6.999934114
0021.png,7.615286302,4.939734699,8,1.37E-09,7.999896555
0022.png,7.711241726,6.246211157,1,1.27E-07,0.999999567
0022.png,7.711241726,6.246211157,2,6.80E-08,1.999998001
0022.png,7.711241726,6.246211157,3,3.29E-08,2.999994134
0022.png,7.711241726,6.246211157,4,1.56E-08,3.999990345
0022.png,7.711241726,6.246211157,5,7.47E-09,4.999983532
0022.png,7.711241726,6.246211157,6,3.61E-09,5.999970827
0022.png,7.711241726,6.246211157,7,1.76E-09,6.999955451
0022.png,7.711241726,6.246211157,8,8.71E-10,7.999914503
