image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0500.png,7.502153888259183,5.866738139186502,8,3.976945425708013e-09,7.999958777226426
0500.png,7.502153888259183,5.866738139186502,7,4.007310402366683e-09,6.999979917710423
0500.png,7.502153888259183,5.866738139186502,6,4.228528436052007e-09,5.9999913635386655
0500.png,7.502153888259183,5.866738139186502,5,5.4832461136479665e-09,4.999993856552939
0500.png,7.502153888259183,5.866738139186502,4,9.184824217566622e-09,3.999996874431175
0500.png,7.502153888259183,5.866738139186502,3,1.7607944723568525e-08,2.9999985239173004
0500.png,7.502153888259183,5.866738139186502,2,3.6791793476233786e-08,1.9999998378272932
0500.png,7.502153888259183,5.866738139186502,1,7.500849094185685e-08,0.9999997430035747
