image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0500.png,7.502153888259183,5.866738139186502,1,7.185046201207046e-08,0.9999996390063844
0500.png,7.502153888259183,5.866738139186502,2,3.5970829972221155e-08,1.9999984773690431
0500.png,7.502153888259183,5.866738139186502,3,1.7398884081173313e-08,2.999998427355469
0500.png,7.502153888259183,5.866738139186502,4,8.689209792776331e-09,3.9999981734834558
0500.png,7.502153888259183,5.866738139186502,5,4.4844047299046055e-09,4.999995143595802
0500.png,7.502153888259183,5.866738139186502,6,2.392837738331277e-09,5.999992266212833
0500.png,7.502153888259183,5.866738139186502,7,1.3178965740086498e-09,6.9999787139841345
0500.png,7.502153888259183,5.866738139186502,8,7.779488702728562e-10,7.999954068342124
